"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,"Base Year",
"Lesotho","666","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","1.77175730568864","2.0684433846633","3.2480946651915","1.87688948765218","-2.73361956630173","-1.30352754625139","-1.97104947707874","-3.90182981760919","1.79267131364756","2.12040635322704","2.12739598645254","",
"Namibia","728","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","5.61472145494242","6.0925191391539","4.264174528732","0.0337944884155664","-1.02725082313052","1.05994344268663","-0.839154678051398","-8.10140425991807","3.52466758922575","4.56028728314079","2.81775257474221","",
"Seychelles","718","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","6.40344018151505","4.72024387425497","9.69018543645409","12.7048757860014","6.55325376137559","6.1587982832618","5.15463917525773","-8.45828527489427","2.51994960100798","8.91","4.15999999999999","",
"Common Market of Eastern and Southern Africa (COMESA)","762","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","5.47629076298598","6.42548186393123","5.97769266093187","4.04885566818607","5.66591725061649","5.80257558531087","5.69743575077507","0.45779606655537","6.43567642834592","5.93221080002032","5.18773192650619","",
"Sub-Saharan Africa","603","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","4.92712489086215","4.95326503552595","3.18048273934349","1.49662017812066","2.96345799259517","3.26350458486837","3.18384363249581","-1.59327377217152","4.73289011780351","3.99660715298423","3.34622586653509","",
"SSA middle-income countries excluding South Africa and Nigeria","703","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","5.09951655905403","4.94443793595975","3.07858604802889","2.60078418644983","3.52240019120784","3.38404954991314","3.5120889738837","-1.74142406340226","5.05378087369532","4.44572701379262","3.44761093500308","",
"SSA low-income countries","704","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","6.6648364299582","6.69926635570245","5.70369992161867","4.38341306494325","6.17009104232969","5.92877097446573","6.07002543964016","1.93169384387037","5.4288881877049","5.63967903298293","5.27791342120083","",
"South Sudan","733","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","27.2721386636232","1.55564983901626","-0.231224403847209","-13.2987687861249","-5.79351546170616","-2.14927108232519","0.85635291055793","-6.49372705280843","5.32918198855143","0.475816299083855","3.48218777113346","",
"CEMAC","758","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","1.72807384012879","4.71860788940783","1.48677248264742","-0.00613050662589502","0.0241552028442925","1.28629718656324","2.13844819005558","-1.48605059795368","1.94679142514364","3.2767176516913","2.66239883456712","",
"SSA oil-importing countries","697","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","4.74442954198089","4.37896364797448","3.8007163721013","3.37096958753343","4.39979010246379","4.3660165080447","3.97439774855076","-1.19170468049476","5.62268042525108","4.4074722926799","3.72519171386789","",
"Chad","628","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","5.75334466784792","6.89297990486549","1.76950234243101","-5.55753764522327","-2.37969552097012","2.35525656751497","3.4191774912439","-2.14235316040981","-1.18685875528015","3.39432482748373","4.00040309599386","",
