"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2013,2014,2015,"Base Year",
"Lesotho","666","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","1.77175730568864","2.0684433846633","3.2480946651915","",
"Namibia","728","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","5.61472145494242","6.0925191391539","4.264174528732","",
"Seychelles","718","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","6.40344018151505","4.72024387425497","9.69018543645409","",
"Common Market of Eastern and Southern Africa (COMESA)","762","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","5.47629076298598","6.42548186393123","5.97769266093187","",
"Sub-Saharan Africa","603","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","4.92712489086215","4.95326503552595","3.18048273934349","",
"SSA middle-income countries excluding South Africa and Nigeria","703","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","5.09951655905403","4.94443793595975","3.07858604802889","",
"SSA low-income countries","704","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","6.6648364299582","6.69926635570245","5.70369992161867","",
"South Sudan","733","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","27.2721386636232","1.55564983901626","-0.231224403847209","",
"CEMAC","758","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","1.72807384012879","4.71860788940783","1.48677248264742","",
"SSA oil-importing countries","697","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","4.74442954198089","4.37896364797448","3.8007163721013","",
"Chad","628","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","5.75334466784792","6.89297990486549","1.76950234243101","",
"Eritrea","643","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","-10.4562232210757","30.9344123069275","-20.6213646502945","",
"Niger","692","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","5.31068280540351","6.64398439284882","4.39338011051652","",
"Sierra Leone","724","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","20.7202739347647","4.55541427575121","-20.4928104453575","",
"Zambia","754","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","5.05749097457939","4.69772909562994","2.9199802379481","",
"Burundi","618","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","4.92419526128831","4.24065164368079","-3.9","",
"Guinea-Bissau","654","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","3.25600002664415","0.964525747030631","6.1340893547268","",
"Sao Tome and Principe","716","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","5.11967682856478","4.90620987711472","1.53970361264932","",
"Tanzania","738","Gross Domestic Product, Real, Percent change, Previous period, Percent","NGDP_R_PC_PP_PT","Value","6.78158623788359","6.73246129669169","6.16062934273114","",
